Category,Face numbers,Vertex numbers,Bounding Box Diagonal Size,Types of faces
animal,22190,11090,1.2082603196331492,{'3': 22190}
animal,826,441,1.1668787426292417,{'3': 826}
animal,564,375,1.1854480165743244,{'3': 564}
animal,3352,1863,1.1845066483561837,{'3': 3352}
animal,1773,1022,1.3487679563216202,{'3': 1773}
animal,837,450,1.1944224545779436,{'3': 837}
animal,3460,2244,1.2384813280788693,{'3': 3460}
animal,7763,4049,1.2392425105684521,{'3': 7763}
animal,19582,4657,1.2900600761204881,{'3': 19582}
animal,6667,3495,1.4255781283395168,{'3': 6667}
animal,2547,1350,1.2145834676958187,{'3': 2547}
animal,228,148,1.1921975507440032,{'3': 228}
animal,2338,1224,1.2627343346880213,{'3': 2338}
animal,6056,3109,1.2018764495571082,{'3': 6056}
animal,694,349,1.2032273268173392,{'3': 694}
animal,404,210,1.4565239441904139,{'3': 404}
animal,2576,1290,1.2804585116277685,{'3': 2576}
animal,3420,1739,1.1911557412865876,{'3': 3420}
animal,17495,9272,1.3329564884121312,{'3': 17495}
animal,608,178,1.4083749500754406,{'3': 608}
animal,21105,10576,1.4277093541754218,{'3': 21105}
animal,20895,10473,1.4223223966457113,{'3': 20895}
animal,36118,18337,1.4021048462936,{'3': 36118}
animal,15968,7015,1.436370773860287,{'3': 15968}
animal,35711,18153,1.429199076406083,{'3': 35711}
animal,24954,13022,1.4676164349038885,{'3': 24954}
animal,1430,747,1.4403704384636613,{'3': 1430}
animal,812,408,1.413144012477143,{'3': 812}
animal,956,480,1.4056784838646426,{'3': 956}
animal,831,551,1.3607086389084182,{'3': 831}
animal,874,589,1.4266520248469843,{'3': 874}
animal,857,568,1.4219708154529755,{'3': 857}
animal,862,574,1.4147088039593165,{'3': 862}
animal,51119,18472,1.4095112628141713,{'3': 51119}
animal,15874,7970,1.3914787098622816,{'3': 15874}
animal,16126,8077,1.3536188532965991,{'3': 16126}
animal,23197,11806,1.3638365004647734,{'3': 23197}
animal,35325,16870,1.4231524865593286,{'3': 35325}
animal,721,372,1.4862543523905993,{'3': 721}
animal,728,402,1.3811375746101473,{'3': 728}
animal,2092,1068,1.300514513567611,{'3': 2092}
animal,895,481,1.2338589870807766,{'3': 895}
animal,880,470,1.2324033430658974,{'3': 880}
animal,899,478,1.3199405289633317,{'3': 899}
animal,17547,8798,1.271468442392496,{'3': 17547}
animal,32530,16267,1.4512842588548944,{'3': 32530}
animal,2132,1092,1.4512229325641184,{'3': 2132}
animal,1024,341,1.652763140924918,{'3': 1024}
animal,874,445,1.3898543089115492,{'3': 874}
animal,646,359,1.4362360530219258,{'3': 646}
animal,524,275,1.4490762574826765,{'3': 524}
animal,11660,6076,1.3953153765367885,{'3': 11660}
animal,5504,2894,1.367930553792845,{'3': 5504}
animal,20198,10119,1.3873161139408712,{'3': 20198}
animal,3587,1848,1.507742351995194,{'3': 3587}
animal,5878,2972,1.4701768601090142,{'3': 5878}
animal,912,486,1.5452307271084147,{'3': 912}
animal,800,390,1.3357391212358796,{'3': 800}
animal,3548,1802,1.3839924132740036,{'3': 3548}
animal,2246,1129,1.3932354431322798,{'3': 2246}
animal,6164,3144,1.460805941937532,{'3': 6164}
animal,462,233,1.304395262180908,{'3': 462}
animal,1394,699,1.5259269314092334,{'3': 1394}
animal,2503,1289,1.628945364338534,{'3': 2503}
animal,1130,567,1.4434198973271775,{'3': 1130}
animal,928,464,1.2055247819933026,{'3': 928}
animal,1156,649,1.429381334703934,{'3': 1156}
animal,8216,4346,1.3375313080447875,{'3': 8216}
animal,5390,2684,1.2380323097560904,{'3': 5390}
animal,3709,1824,1.2308391446488856,{'3': 3709}
animal,265,116,1.267734988079133,{'3': 265}
animal,54,41,1.5598948682523446,{'3': 54}
animal,798,401,1.2748070442227717,{'3': 798}
animal,33072,16542,1.2949065603355325,{'3': 33072}
animal,1086,576,1.3881595729598235,{'3': 1086}
animal,165,101,1.3205896410316114,{'3': 165}
animal,34877,18409,1.1883316035518032,{'3': 34877}
animal,33836,18143,1.235330724947777,{'3': 33836}
animal,37072,19505,1.2089896608325483,{'3': 37072}
animal,10893,5814,1.1985023988294725,{'3': 10893}
animal,36278,18878,1.1972493474627581,{'3': 36278}
animal,950,477,1.3918548774926214,{'3': 950}
animal,1680,44,1.161895003862225,{'3': 1680}
animal,3208,1606,1.2869922299687748,{'3': 3208}
animal,337,216,1.2372655333435907,{'3': 337}
animal,478,241,1.3343365392583686,{'3': 478}
animal,1792,1112,1.5497674019026209,{'3': 1792}
animal,444,247,1.2743574851665445,{'3': 444}
animal,1930,1004,1.3800039855014912,{'3': 1930}
animal,8196,4117,1.3759571214249373,{'3': 8196}
animal,27996,14000,1.2404386320975336,{'3': 27996}
animal,1098,553,1.1687382084966675,{'3': 1098}
animal,560,317,1.2337345743716515,{'3': 560}
animal,8276,4144,1.526840528673509,{'3': 8276}
animal,154,98,1.5229468145670746,{'3': 154}
animal,5263,2777,1.0227938697508898,{'3': 5263}
animal,3854,1981,1.3935225150674817,{'3': 3854}
animal,245,176,1.3097171450355225,{'3': 245}
animal,1331,691,1.4203777666522381,{'3': 1331}
animal,3220,1618,1.327552635491339,{'3': 3220}
animal,25030,12515,1.4486062266882607,{'3': 25030}
animal,894,557,1.4876249527350636,{'3': 894}
animal,3526,1783,1.399618876694652,{'3': 3526}
animal,3169,1614,1.4489327106529137,{'3': 3169}
animal,3888,1971,1.458002057611717,{'3': 3888}
building,5100,2509,1.5138642607578792,{'3': 5100}
building,45,40,1.5713491655262366,{'3': 45}
building,274,246,1.520881323443746,{'3': 274}
building,80,33,1.4346895134488158,{'3': 80}
building,326,241,1.5439167723682516,{'3': 326}
building,1246,750,1.642274337618414,{'3': 1246}
building,696,630,1.6740666056044484,{'3': 696}
building,470,445,1.6356582772694301,{'3': 470}
building,2680,1362,1.6740678002996174,{'3': 2680}
building,48,35,1.2648889279300375,{'3': 48}
building,3957,2093,1.2448341254962445,{'3': 3957}
building,5485,4742,1.3591905679484388,{'3': 5485}
building,7106,3995,1.4280801798218472,{'3': 7106}
building,16975,8469,1.671916564903883,{'3': 16975}
building,14240,8632,1.3411849238639688,{'3': 14240}
building,27982,14312,1.5523933135645747,{'3': 27982}
building,2832,1686,1.4402780981463268,{'3': 2832}
building,1275,966,1.244074354691069,{'3': 1275}
building,1207,722,1.4786622332365158,{'3': 1207}
building,4236,2380,1.4186979946415657,{'3': 4236}
building,26,22,1.5916447467949624,{'3': 26}
building,184,119,1.3212210261723811,{'3': 184}
building,240,220,1.3180375563693167,{'3': 240}
building,19,10,1.4559505486107693,{'3': 19}
building,906,411,1.4203964235381614,{'3': 906}
building,37831,26784,1.4002310523624306,{'3': 37831}
building,6206,3508,1.4163071700729328,{'3': 6206}
building,35236,20624,1.3671324003182719,{'3': 35236}
building,1502,762,1.585519473232669,{'3': 1502}
building,1879,781,1.2087973361982562,{'3': 1879}
building,5111,2557,1.552376565141332,{'3': 5111}
building,216,200,1.3573687781881532,{'3': 216}
building,703,607,1.525534988127116,{'3': 703}
building,1760,958,1.3306603623765156,{'3': 1760}
building,16,10,1.4888472050549715,{'3': 16}
building,8520,4748,1.5283962182627906,{'3': 8520}
building,1587,816,1.5624634395722672,{'3': 1587}
building,22,25,1.4778589242549507,{'3': 22}
building,3672,2022,1.5032611216950966,{'3': 3672}
building,12810,8301,1.242478973665148,{'3': 12810}
building,4363,2335,1.1698474259492133,{'3': 4363}
building,66620,36790,1.503123414760079,{'3': 66620}
building,16159,8334,1.194661876850517,{'3': 16159}
building,216,124,1.492219152805646,{'3': 216}
building,2670,1361,1.6424232097726823,{'3': 2670}
building,178,112,1.5513436111964363,{'3': 178}
building,344,211,1.6134605666083073,{'3': 344}
furniture,136,116,1.5851952561120033,{'3': 136}
furniture,121,72,1.5031107743609584,{'3': 121}
furniture,1726,1005,1.5280755871356626,{'3': 1726}
furniture,1220,472,1.4044906550062908,{'3': 1220}
furniture,448,264,1.5411038251850522,{'3': 448}
furniture,961,545,1.3837933371714144,{'3': 961}
furniture,1912,880,1.2472930690098458,{'3': 1912}
furniture,1860,1051,1.2216059102673005,{'3': 1860}
furniture,90,46,1.4988095275918152,{'3': 90}
furniture,1268,660,1.2299991869916012,{'3': 1268}
furniture,468,312,1.5613574222451436,{'3': 468}
furniture,508,352,1.4083390926903931,{'3': 508}
furniture,46,40,1.2929466346295968,{'3': 46}
furniture,120,66,1.408535054586857,{'3': 120}
furniture,36,24,1.2484414283417544,{'3': 36}
furniture,4782,2413,1.5221862566716335,{'3': 4782}
furniture,98,81,1.5983722970572283,{'3': 98}
furniture,1232,678,1.5100437079766929,{'3': 1232}
furniture,5984,3018,1.3579355654816616,{'3': 5984}
furniture,24253,12172,1.5173361526042937,{'3': 24253}
furniture,1719,867,1.465103409319629,{'3': 1719}
furniture,599,369,1.4642735400190772,{'3': 599}
furniture,1784,938,1.4950454842579204,{'3': 1784}
furniture,190,116,1.5347820692202525,{'3': 190}
furniture,16268,8188,1.383611578442447,{'3': 16268}
furniture,206,178,1.5106005428305658,{'3': 206}
furniture,2481,1318,1.4411502350553185,{'3': 2481}
furniture,552,326,1.5070583930292814,{'3': 552}
furniture,290,151,1.5360742169569803,{'3': 290}
furniture,904,472,1.2922205694075606,{'3': 904}
furniture,1344,842,1.440635970674063,{'3': 1344}
furniture,1494,775,1.2970940598121634,{'3': 1494}
furniture,434,257,1.3549819186985486,{'3': 434}
furniture,546,341,1.4124393792301317,{'3': 546}
furniture,546,341,1.3110941995142835,{'3': 546}
furniture,120,76,1.5214243326567378,{'3': 120}
furniture,208,132,1.4224978031617483,{'3': 208}
furniture,1906,967,1.3879625355174396,{'3': 1906}
furniture,1266,678,1.388127875953797,{'3': 1266}
furniture,1144,600,1.3824065972064803,{'3': 1144}
furniture,1378,713,1.3709183053705278,{'3': 1378}
furniture,324,200,1.3896967295061178,{'3': 324}
furniture,2098,1101,1.3110320362218462,{'3': 2098}
furniture,680,342,1.3783744048697364,{'3': 680}
furniture,300,184,1.3717062367722908,{'3': 300}
furniture,228,104,1.4060679215457552,{'3': 228}
furniture,204,96,1.4379457569741634,{'3': 204}
furniture,96,64,1.4488471278916901,{'3': 96}
furniture,28,48,1.2328828005937953,{'3': 28}
furniture,84,56,1.40712259593825,{'3': 84}
furniture,1024,544,1.5102258109302726,{'3': 1024}
furniture,406,323,1.258306798837231,{'3': 406}
furniture,274,221,1.4717333318233978,{'3': 274}
furniture,180,112,1.2187920249164745,{'3': 180}
furniture,184,60,1.6397505907911727,{'3': 184}
furniture,1206,679,1.469108913593543,{'3': 1206}
furniture,744,528,1.2443018122626037,{'3': 744}
furniture,84,56,1.4920965116238292,{'3': 84}
furniture,556,276,1.3346355307723528,{'3': 556}
furniture,86,60,1.378404875209022,{'3': 86}
furniture,172,96,1.688194301613413,{'3': 172}
furniture,408,232,1.3374139224637973,{'3': 408}
furniture,616,340,1.389132103149301,{'3': 616}
furniture,1018,511,1.4367866925887085,{'3': 1018}
furniture,360,190,1.35252763372879,{'3': 360}
furniture,292,184,1.5449582518631368,{'3': 292}
furniture,100,80,1.358441386295338,{'3': 100}
furniture,152,128,1.3340794579034638,{'3': 152}
furniture,348,288,1.688002665874672,{'3': 348}
furniture,360,190,1.5491639680808484,{'3': 360}
furniture,60,40,1.1774705941126513,{'3': 60}
furniture,67,48,1.6480442955212096,{'3': 67}
furniture,214,158,1.3498259147015959,{'3': 214}
furniture,3048,1586,1.4308563869235793,{'3': 3048}
furniture,62,44,1.3706294174575417,{'3': 62}
furniture,188,104,1.5770722874998468,{'3': 188}
furniture,60,40,1.4270819878339156,{'3': 60}
furniture,172,96,1.4011898515190582,{'3': 172}
furniture,124,78,1.6308635749197418,{'3': 124}
furniture,100,55,1.5452763506894163,{'3': 100}
furniture,276,148,1.6400908511420944,{'3': 276}
furniture,241,128,1.6286156698251433,{'3': 241}
furniture,76,46,1.5102993080843279,{'3': 76}
furniture,140,72,1.6244657583341053,{'3': 140}
furniture,840,422,1.6283381098531104,{'3': 840}
furniture,576,308,1.50208188857998,{'3': 576}
furniture,334,195,1.3518883089959761,{'3': 334}
furniture,254,146,1.497425791149598,{'3': 254}
furniture,206,136,1.595756247050282,{'3': 206}
furniture,206,136,1.5673123492144123,{'3': 206}
furniture,108,64,1.4171397249389348,{'3': 108}
furniture,108,64,1.4502030892257813,{'3': 108}
furniture,1712,872,1.237654232813026,{'3': 1712}
furniture,3528,1818,1.2788940534696374,{'3': 3528}
household,600,302,1.169811779732107,{'3': 600}
household,452,232,1.1576601401102138,{'3': 452}
household,262,135,1.0876977981038667,{'3': 262}
household,52,24,1.0759805760328576,{'3': 52}
household,330,199,1.0816693579832979,{'3': 330}
household,708,362,1.1192799024372768,{'3': 708}
household,2891,1490,1.2820214506785759,{'3': 2891}
household,1687,850,1.1998174861202848,{'3': 1687}
household,1038,523,1.2313297689896074,{'3': 1038}
household,621,316,1.2042263076349062,{'3': 621}
household,7218,3782,1.4567058728514826,{'3': 7218}
household,14804,7658,1.4616131499134783,{'3': 14804}
household,14472,7339,1.463222812834737,{'3': 14472}
household,5968,3287,1.439737128784279,{'3': 5968}
household,50984,25650,1.4636170947348217,{'3': 50984}
household,24514,12623,1.4197820255236364,{'3': 24514}
household,121343,60671,1.437803533171344,{'3': 121343}
household,32997,16803,1.269103226691982,{'3': 32997}
household,22448,9978,1.48533329593058,{'3': 22448}
household,190,117,1.5169660510373988,{'3': 190}
household,1998,1009,1.4326772141693327,{'3': 1998}
household,1500,958,1.4987681608574421,{'3': 1500}
household,4284,2388,1.4414402519702298,{'3': 4284}
household,1120,562,1.496420061346412,{'3': 1120}
household,3414,2064,1.4977543189722404,{'3': 3414}
household,1549,851,1.4703968851980067,{'3': 1549}
household,972,508,1.4220717281487598,{'3': 972}
household,5232,2718,1.453323432687989,{'3': 5232}
household,1220,636,1.5956393702838998,{'3': 1220}
household,72,48,1.2382489652731392,{'3': 72}
household,29,31,1.206924479824649,{'3': 29}
household,894,456,1.3142290515735833,{'3': 894}
household,16,16,1.2328827600384393,{'3': 16}
household,18,18,1.2105250100679457,{'3': 18}
household,988,522,1.2507681639696462,{'3': 988}
household,132,68,1.1508714089766936,{'3': 132}
household,3468,1724,1.2107431602119418,{'3': 3468}
household,11464,6044,1.1913826001751073,{'3': 11464}
household,1772,871,1.2052586029562287,{'3': 1772}
household,1314,676,1.2619556252103319,{'3': 1314}
household,4410,2447,1.2334986826097545,{'3': 4410}
household,1617,858,1.2399483860225797,{'3': 1617}
household,4338,2695,1.2238623288589285,{'3': 4338}
household,98,88,1.2109405435445622,{'3': 98}
household,1328,716,1.2516968482823627,{'3': 1328}
household,1446,716,1.2617519566063689,{'3': 1446}
household,2620,1336,1.3129097455651701,{'3': 2620}
household,2988,1500,1.3952573239370578,{'3': 2988}
household,216,110,1.386041485670613,{'3': 216}
household,1022,559,1.545477596084783,{'3': 1022}
household,684,366,1.6297613322201505,{'3': 684}
household,29988,17136,1.3906196460571092,{'3': 29988}
household,52,28,1.2930583900195691,{'3': 52}
household,3874,2128,1.656492378491371,{'3': 3874}
household,60,34,1.6457533229497063,{'3': 60}
household,3012,986,1.615141479871036,{'3': 3012}
household,356,228,1.5441198140040817,{'3': 356}
household,284,228,1.5441198140040817,{'3': 284}
household,1644,986,1.615141479871036,{'3': 1644}
household,2118,1177,1.6257515185292,{'3': 2118}
household,6365,4269,1.514693368309243,{'3': 6365}
household,76,46,1.5337473716358896,{'3': 76}
household,5666,2986,1.4868433004187092,{'3': 5666}
household,5270,2674,1.448753257114544,{'3': 5270}
household,34133,17301,1.5370429401939296,{'3': 34133}
household,4217,2503,1.4497713612842542,{'3': 4217}
household,740,284,1.6312179498767172,{'3': 740}
household,760,396,1.5966903268949806,{'3': 760}
household,538,270,1.6316549880412832,{'3': 538}
household,618,325,1.595911025088805,{'3': 618}
household,9528,5026,1.5968835273744921,{'3': 9528}
household,804,408,1.328834075421006,{'3': 804}
household,2516,1284,1.390326220712247,{'3': 2516}
household,322,194,1.3968328461201076,{'3': 322}
household,132,68,1.563344811613868,{'3': 132}
household,11755,5714,1.58130136280217,{'3': 11755}
household,3378,1799,1.5352514452036838,{'3': 3378}
household,768,398,1.3623813709824426,{'3': 768}
household,1418,720,1.5566322622893307,{'3': 1418}
household,2046,1146,1.5871487012879415,{'3': 2046}
household,58,44,1.5003349626000189,{'3': 58}
household,11832,5930,1.4056560745787001,{'3': 11832}
household,7250,3824,1.5978616961426917,{'3': 7250}
household,26946,15277,1.4437375107684915,{'3': 26946}
household,1068,673,1.401067093325655,{'3': 1068}
household,1536,770,1.2589678312014172,{'3': 1536}
household,2750,1401,1.5442428565481532,{'3': 2750}
household,1000,502,1.466885816960543,{'3': 1000}
household,6012,3008,1.3153166919035126,{'3': 6012}
household,720,380,1.6571795316138804,{'3': 720}
household,636,339,1.534863511847226,{'3': 636}
household,138,71,1.6602716645175875,{'3': 138}
household,2000,1072,1.5016910467869213,{'3': 2000}
household,1500,752,1.5000046666594076,{'3': 1500}
household,5246,2661,1.425349430841434,{'3': 5246}
household,790,294,1.6651951837547454,{'3': 790}
household,188,94,1.5796119776704658,{'3': 188}
household,35488,17744,1.4670961113710308,{'3': 35488}
household,348,176,1.688194301613413,{'3': 348}
household,3121,1750,1.5877946970562662,{'3': 3121}
household,2592,1296,1.3748607202185972,{'3': 2592}
household,68,32,1.4286577616770224,{'3': 68}
household,320,176,1.4994272239758752,{'3': 320}
household,1008,504,1.4294495444051183,{'3': 1008}
household,5004,2526,1.5511598885994957,{'3': 5004}
household,1196,312,1.6373796138953238,{'3': 1196}
household,1196,624,1.637379003163287,{'3': 1196}
household,800,402,1.5114923089450372,{'3': 800}
household,1000,529,1.6091413859571195,{'3': 1000}
household,104,56,1.608138986530704,{'3': 104}
household,1533,829,1.590958201839382,{'3': 1533}
household,96,64,1.6164581652489494,{'3': 96}
household,3712,2393,1.6709991023336908,{'3': 3712}
household,636,341,1.644170611585063,{'3': 636}
household,760,376,1.6192402539462758,{'3': 760}
household,294,163,1.6468226984104877,{'3': 294}
household,1063,591,1.6213805845636613,{'3': 1063}
household,164,94,1.5794261616169336,{'3': 164}
household,28,16,1.6214407173868552,{'3': 28}
household,40,28,1.663902340884224,{'3': 40}
household,744,395,1.641590996564004,{'3': 744}
household,8224,4284,1.651665825765006,{'3': 8224}
household,4155,2198,1.6468982967991679,{'3': 4155}
household,868,220,1.4314290062731019,{'3': 868}
household,848,196,1.4740719114073098,{'3': 848}
household,840,432,1.4758397609496772,{'3': 840}
household,4100,2100,1.4708660714014719,{'3': 4100}
household,3416,1714,1.4592316471348885,{'3': 3416}
household,1372,696,1.442180987255067,{'3': 1372}
household,3720,1928,1.4228271152884315,{'3': 3720}
household,1352,686,1.4653996042035768,{'3': 1352}
household,9070,3469,1.3566576576277452,{'3': 9070}
household,38141,19092,1.5414593734510165,{'3': 38141}
household,224,128,1.4425505190460401,{'3': 224}
household,640,340,1.6529416202637044,{'3': 640}
household,7019,3655,1.1624152442221325,{'3': 7019}
household,8660,4500,1.2747191063132302,{'3': 8660}
household,13529,7445,1.1609788111761556,{'3': 13529}
household,20186,10314,1.125051865471099,{'3': 20186}
household,16090,8225,1.12343433274936,{'3': 16090}
household,9011,4694,1.1900180670897396,{'3': 9011}
household,93366,47076,1.1762810038421943,{'3': 93366}
household,1932,1033,1.1722132911718754,{'3': 1932}
household,1728,524,1.1840016891879843,{'3': 1728}
household,2253,1372,1.143251153509149,{'3': 2253}
household,25330,13705,1.1482983061905123,{'3': 25330}
household,17465,8889,1.1690670639445797,{'3': 17465}
household,16931,8636,1.1379108488805263,{'3': 16931}
household,2428,1238,1.2812817800936684,{'3': 2428}
household,2464,1460,1.3108443843568922,{'3': 2464}
household,10198,4950,1.3411554719718366,{'3': 10198}
household,2088,1064,1.253066239270694,{'3': 2088}
household,31098,15763,1.2812716339636963,{'3': 31098}
household,560,293,1.3065389393355256,{'3': 560}
household,3260,1085,1.2585265193868582,{'3': 3260}
household,828,460,1.42030912128311,{'3': 828}
household,9270,4651,1.3493505845405782,{'3': 9270}
household,26860,13440,1.3645669642784115,{'3': 26860}
household,1504,800,1.212992580356533,{'3': 1504}
household,360,178,1.410710104876264,{'3': 360}
household,16488,8583,1.1191452095237686,{'3': 16488}
household,259,196,1.0630507984099347,{'3': 259}
household,19712,9880,1.1242975140059681,{'3': 19712}
household,1036,526,1.0810200275665571,{'3': 1036}
household,1112,557,1.1374361520542593,{'3': 1112}
household,1900,960,1.1185064148229102,{'3': 1900}
household,1100,588,1.0351816748764442,{'3': 1100}
household,15768,7910,1.2085842130360631,{'3': 15768}
household,8628,4325,1.111475730729196,{'3': 8628}
household,13168,6598,1.0982819765433647,{'3': 13168}
household,17701,9457,1.0882655466383193,{'3': 17701}
household,2000,1023,1.0688858685566014,{'3': 2000}
household,11609,5548,1.1561314804121545,{'3': 11609}
household,37283,18888,1.0565189065984575,{'3': 37283}
household,710,361,1.0803898370495715,{'3': 710}
household,1228,624,1.1351083648709492,{'3': 1228}
household,620,318,1.0672014805087182,{'3': 620}
household,530,275,1.088843882289835,{'3': 530}
household,1520,812,1.0805825280838108,{'3': 1520}
household,10136,5076,1.1579379085253234,{'3': 10136}
household,516,262,1.0774794661616527,{'3': 516}
household,3508,1780,1.1317803673858282,{'3': 3508}
household,18714,9089,1.1886955455456203,{'3': 18714}
household,1560,782,1.218684577731252,{'3': 1560}
household,2152,1088,1.1006588935723909,{'3': 2152}
miscellaneous,360,238,1.293181348458135,{'3': 360}
miscellaneous,3544,1800,1.131660726543075,{'3': 3544}
miscellaneous,1201,653,1.0431797064743926,{'3': 1201}
miscellaneous,1734,861,1.1911174585237176,{'3': 1734}
miscellaneous,10335,6529,1.4208483381416892,{'3': 10335}
miscellaneous,7806,6645,1.33090758507118,{'3': 7806}
miscellaneous,5315,5137,1.3330660148694813,{'3': 5315}
miscellaneous,2938,2274,1.3933811395307458,{'3': 2938}
miscellaneous,9290,5538,1.4433353733626846,{'3': 9290}
miscellaneous,16805,9894,1.3551379634561198,{'3': 16805}
miscellaneous,16061,16857,1.3614653870003453,{'3': 16061}
miscellaneous,4217,2341,1.3741852131354055,{'3': 4217}
miscellaneous,17394,9201,1.3814459453775236,{'3': 17394}
miscellaneous,1891,1049,1.4134779800194979,{'3': 1891}
miscellaneous,8804,4492,1.4526007710310498,{'3': 8804}
miscellaneous,5896,3000,1.4930334892426225,{'3': 5896}
miscellaneous,76,44,1.3951835004758335,{'3': 76}
miscellaneous,1344,760,1.4193054639505902,{'3': 1344}
miscellaneous,4860,2474,1.3483755782422047,{'3': 4860}
miscellaneous,393,237,1.3798202781521947,{'3': 393}
miscellaneous,6424,3248,1.3150542194145456,{'3': 6424}
miscellaneous,624,316,1.3751632630346113,{'3': 624}
miscellaneous,422,258,1.2893409169028958,{'3': 422}
miscellaneous,5232,2628,1.333922411536743,{'3': 5232}
miscellaneous,1502,898,1.2940763501432209,{'3': 1502}
miscellaneous,879,531,1.234210678936137,{'3': 879}
miscellaneous,1104,560,1.2778236576304258,{'3': 1104}
miscellaneous,3384,1718,1.212451359849128,{'3': 3384}
miscellaneous,5010,2474,1.2072662092512985,{'3': 5010}
miscellaneous,484,293,1.270560506233371,{'3': 484}
miscellaneous,1209,670,1.5778063886294793,{'3': 1209}
miscellaneous,778,400,1.4464736430367475,{'3': 778}
miscellaneous,2450,1336,1.4109075093711847,{'3': 2450}
miscellaneous,190,143,1.4969585832614072,{'3': 190}
miscellaneous,1358,453,1.5770183892396437,{'3': 1358}
miscellaneous,1430,731,1.2844858893736435,{'3': 1430}
miscellaneous,1472,773,1.5808364874331564,{'3': 1472}
miscellaneous,1719,944,1.6401499931408712,{'3': 1719}
miscellaneous,3540,1831,1.4300374120980193,{'3': 3540}
miscellaneous,1794,941,1.5446096594285559,{'3': 1794}
miscellaneous,896,472,1.408366784612588,{'3': 896}
miscellaneous,1406,786,1.436523233365893,{'3': 1406}
miscellaneous,87892,44261,1.5680911963275606,{'3': 87892}
miscellaneous,34333,17526,1.5126427205391233,{'3': 34333}
miscellaneous,316498,160940,1.54313512046094,{'3': 316498}
miscellaneous,2158,1174,1.383610855696066,{'3': 2158}
miscellaneous,2955,1581,1.432990579173499,{'3': 2955}
miscellaneous,3961,2017,1.091131385306096,{'3': 3961}
miscellaneous,6468,3300,1.304276619433163,{'3': 6468}
miscellaneous,4920,2551,1.3275315062174606,{'3': 4920}
miscellaneous,5949,3071,1.386233746523291,{'3': 5949}
miscellaneous,1440,787,1.5810458563874736,{'3': 1440}
miscellaneous,4374,2342,1.5722289909551979,{'3': 4374}
miscellaneous,13338,7013,1.4571496148302685,{'3': 13338}
miscellaneous,86361,43386,1.2736086526087989,{'3': 86361}
miscellaneous,49998,25001,1.2442612265919082,{'3': 49998}
miscellaneous,2878,1546,1.3779292434664414,{'3': 2878}
miscellaneous,2828,1521,1.3608997024027891,{'3': 2828}
miscellaneous,768,386,1.4389228610318205,{'3': 768}
miscellaneous,12072,6038,1.419186386631439,{'3': 12072}
miscellaneous,12378,6191,1.4604646520885056,{'3': 12378}
miscellaneous,1710,799,1.3495028714308095,{'3': 1710}
