Category,Face numbers,Vertex numbers,Bounding Box Diagonal Size,Types of faces
Bust,16522,8263,2.230032510973775,{'3': 16522}
Bust,50456,25230,2.0390882766569964,{'3': 50456}
Bust,53966,26985,2.0670660366809765,{'3': 53966}
Bust,21700,10852,2.0867520216834583,{'3': 21700}
Bust,52870,26437,1.961850147182501,{'3': 52870}
Bust,51532,25768,2.0260668794489485,{'3': 51532}
Bust,46786,23395,2.0470451875813587,{'3': 46786}
Bust,55448,27726,2.051846972851533,{'3': 55448}
Bust,50286,25145,1.9872976626565029,{'3': 50286}
Bust,53112,26558,2.054086414930005,{'3': 53112}
Bust,54232,27118,2.1902319511869055,{'3': 54232}
Chair,16998,8499,1.7927244629334425,{'3': 16998}
Chair,31456,15724,2.0037295226651723,{'3': 31456}
Chair,19304,9652,1.8343892716650956,{'3': 19304}
Chair,17306,8653,1.748135006228066,{'3': 17306}
Chair,18530,9261,1.7229753335436928,{'3': 18530}
Chair,28104,14052,1.8818748630023197,{'3': 28104}
Chair,22854,11421,1.9896532361192991,{'3': 22854}
Chair,21008,10500,1.9957166632565857,{'3': 21008}
Chair,20602,10301,1.7669603843889652,{'3': 20602}
Chair,16920,8456,1.7452750499563099,{'3': 16920}
Chair,16100,8050,1.7595840417553237,{'3': 16100}
Chair,27256,13628,1.7913640054438964,{'3': 27256}
Chair,21500,10748,1.7932230759166579,{'3': 21500}
Chair,11588,5794,1.6532522493557962,{'3': 11588}
Chair,20086,10043,1.808861520404478,{'3': 20086}
Chair,26926,13463,1.913487392171686,{'3': 26926}
Chair,28744,14372,1.8729127048530585,{'3': 28744}
Chair,18306,9153,1.7905004886902434,{'3': 18306}
Chair,24652,12326,1.8520988094591497,{'3': 24652}
Chair,20242,10121,1.7944500550307887,{'3': 20242}
Cup,30396,15198,1.996623149219702,{'3': 30396}
Cup,30004,15002,2.1096139457256156,{'3': 30004}
Cup,30074,15037,2.057224829715994,{'3': 30074}
Cup,30492,15246,2.1253611457820525,{'3': 30492}
Cup,30170,15087,2.0048142058554954,{'3': 30170}
Cup,30418,15209,2.0213943207598066,{'3': 30418}
Cup,30274,15137,1.993818447100939,{'3': 30274}
Cup,30140,15070,2.00985919904853,{'3': 30140}
Cup,30254,15127,1.9602425870284526,{'3': 30254}
Cup,30008,15006,1.9052104870591071,{'3': 30008}
Cup,30454,15227,2.1480693657328667,{'3': 30454}
Cup,29502,14751,1.967871947053466,{'3': 29502}
Cup,14698,7349,2.079984615327719,{'3': 14698}
Cup,19204,9602,2.0947035589791696,{'3': 19204}
Cup,30268,15136,1.867856257852836,{'3': 30268}
Cup,18152,9076,2.0939235898188833,{'3': 18152}
Cup,12540,6270,2.102520867910709,{'3': 12540}
Cup,30128,15064,2.0597424596293585,{'3': 30128}
Cup,30322,15161,2.017263988673768,{'3': 30322}
Cup,30326,15165,1.976184454953535,{'3': 30326}
Fish,14238,7121,1.8558881970636054,{'3': 14238}
Fish,10506,5255,1.7408954592392962,{'3': 10506}
Fish,13308,6656,1.8402217257711093,{'3': 13308}
Fish,10118,5061,1.7204310506381821,{'3': 10118}
Fish,12148,6076,1.8130761153354815,{'3': 12148}
Fish,10428,5216,1.7377094118407714,{'3': 10428}
Fish,10428,5216,1.7377094118407714,{'3': 10428}
Fish,11180,5592,1.7629617125734751,{'3': 11180}
Fish,10486,5245,1.7644846273062285,{'3': 10486}
Fish,15142,7573,1.8704900427428102,{'3': 15142}
Fish,12524,6264,1.7925434443828692,{'3': 12524}
Fish,10876,5440,1.713127549250201,{'3': 10876}
Fish,20368,10186,1.9111726766569261,{'3': 20368}
Fish,14992,7498,1.8785675393767454,{'3': 14992}
Fish,10496,5250,1.7582158570551,{'3': 10496}
Fish,9686,4845,1.7413546450967419,{'3': 9686}
Fish,8874,4439,1.6838758861626353,{'3': 8874}
Fish,10188,5096,1.7200116278676723,{'3': 10188}
Fish,10238,5121,1.7242372226581817,{'3': 10238}
Fish,13662,6833,1.7862166721873358,{'3': 13662}
FourLeg,13872,6938,1.8076340890788711,{'3': 13872}
FourLeg,16152,8078,1.8797850940998546,{'3': 16152}
FourLeg,26658,13331,1.8204169851987209,{'3': 26658}
FourLeg,9420,4712,1.8840193735734247,{'3': 9420}
FourLeg,20868,10436,1.896373644617537,{'3': 20868}
FourLeg,4170,2087,1.993578942505162,{'3': 4170}
FourLeg,29356,14680,1.9304504655649675,{'3': 29356}
FourLeg,16818,8411,1.8863925890439668,{'3': 16818}
FourLeg,18976,9490,1.8766331554142381,{'3': 18976}
FourLeg,18474,9239,1.8010627418277243,{'3': 18474}
FourLeg,8626,4315,1.7905876130477392,{'3': 8626}
FourLeg,17232,8618,1.8686131220774407,{'3': 17232}
FourLeg,19510,9757,1.8094778252302512,{'3': 19510}
FourLeg,18014,9009,1.7996452428187062,{'3': 18014}
FourLeg,22620,11312,1.9959701901581597,{'3': 22620}
FourLeg,11072,5538,1.8513638216190786,{'3': 11072}
FourLeg,14532,7268,1.8296226386880985,{'3': 14532}
FourLeg,2956,1480,1.6309313290264553,{'3': 2956}
FourLeg,7818,3911,1.8966981836865875,{'3': 7818}
FourLeg,7402,3703,1.7978692944705408,{'3': 7402}
Glasses,14028,7016,1.560350601627724,{'3': 14028}
Glasses,8324,4164,1.5693444491251753,{'3': 8324}
Glasses,6824,3414,1.5563078101712398,{'3': 6824}
Glasses,12572,6288,1.6136895612229758,{'3': 12572}
Glasses,10794,5399,1.6273100503591809,{'3': 10794}
Glasses,4784,2394,1.6325397391794172,{'3': 4784}
Glasses,4052,2028,1.5506666308397816,{'3': 4052}
Glasses,10348,5176,1.6233453113863359,{'3': 10348}
Glasses,6220,3110,1.6473848973448797,{'3': 6220}
Glasses,14836,7420,1.572923075042133,{'3': 14836}
Glasses,5712,2858,1.6294723072209605,{'3': 5712}
Glasses,3104,1554,1.6078507393411865,{'3': 3104}
Glasses,4988,2496,1.6437813114888489,{'3': 4988}
Glasses,14810,7407,1.5720547064272288,{'3': 14810}
Glasses,5696,2850,1.615555941464114,{'3': 5696}
Glasses,17538,8771,1.726862472810154,{'3': 17538}
Glasses,14822,7413,1.5717502982344236,{'3': 14822}
Glasses,3710,1857,1.556159696175171,{'3': 3710}
Glasses,5786,2895,1.6509772863367926,{'3': 5786}
Glasses,4746,2375,1.632316758475511,{'3': 4746}
Hand,14480,7242,1.8803140695107294,{'3': 14480}
Hand,20562,10283,1.9399543809069326,{'3': 20562}
Hand,22822,11413,2.041954700770808,{'3': 22822}
Hand,9366,4685,1.832996726674655,{'3': 9366}
Hand,4974,2489,1.7380854409378155,{'3': 4974}
Hand,13210,6607,1.8675965838478072,{'3': 13210}
Hand,15256,7628,1.8836629210132052,{'3': 15256}
Hand,17202,8603,2.029677067910065,{'3': 17202}
Hand,28164,14084,1.9691135061240121,{'3': 28164}
Hand,14996,7500,1.8125093103209153,{'3': 14996}
Hand,27528,13766,2.0475841863034594,{'3': 27528}
Hand,13978,6991,1.884728892971082,{'3': 13978}
Hand,14624,7314,1.722371330462743,{'3': 14624}
Hand,16938,8471,1.7916874727474097,{'3': 16938}
Hand,17044,8524,1.7770863794424852,{'3': 17044}
Hand,14220,7112,1.85601562493423,{'3': 14220}
Hand,15102,7553,1.7822421272094318,{'3': 15102}
Hand,19124,9564,1.7790522757918048,{'3': 19124}
Hand,17290,8647,1.8451810209299249,{'3': 17290}
Hand,3026,1515,1.9184730907677596,{'3': 3026}
Human,9408,4706,1.678541033159452,{'3': 9408}
Human,19012,9508,1.8146321941374235,{'3': 19012}
Human,21994,10999,1.9807715668395485,{'3': 21994}
Human,11224,5614,1.9783991002828525,{'3': 11224}
Human,27402,13703,1.8754479464917175,{'3': 27402}
Human,11378,5691,1.8058923002216938,{'3': 11378}
Human,11258,5631,1.6776203384556352,{'3': 11258}
Human,30450,15223,1.8519117149583562,{'3': 30450}
Human,31816,15910,1.88797245742622,{'3': 31816}
Human,30766,15385,1.926956927385768,{'3': 30766}
Human,30950,15477,1.8986439897990355,{'3': 30950}
Human,20096,10050,1.8037890674909858,{'3': 20096}
Human,31396,15700,1.8605268071167371,{'3': 31396}
Human,11278,5641,1.6547477149100402,{'3': 11278}
Human,11348,5676,1.664732110581159,{'3': 11348}
Human,30308,15154,1.9223220333752613,{'3': 30308}
Human,20192,10098,1.6257761223489537,{'3': 20192}
Human,16878,8441,1.6652741516038734,{'3': 16878}
Human,22026,11015,1.8061569699226034,{'3': 22026}
Human,5274,2639,1.7888443196656327,{'3': 5274}
Mech,29986,14995,1.900209462138319,{'3': 29986}
Mech,29978,14991,1.9006451536254736,{'3': 29978}
Mech,29978,14991,1.8998728904850448,{'3': 29978}
Mech,29620,14812,2.015156569599494,{'3': 29620}
Mech,29994,14999,2.029407056260523,{'3': 29994}
Mech,29986,14995,2.006949426368288,{'3': 29986}
Mech,29870,14937,1.983503214013025,{'3': 29870}
Mech,29984,14994,1.9119395910959114,{'3': 29984}
Mech,29994,14999,1.9066974065121083,{'3': 29994}
Mech,29996,15000,1.9061099128854033,{'3': 29996}
Mech,29996,15000,1.9131372141067142,{'3': 29996}
Mech,29990,14997,1.9145667917312261,{'3': 29990}
Mech,29880,14942,1.9019271805198013,{'3': 29880}
Mech,29990,14997,1.8861675429293125,{'3': 29990}
Mech,29986,14995,1.9005286106765138,{'3': 29986}
Mech,31006,15505,1.77218791328685,{'3': 31006}
Mech,23062,11533,2.141666640726329,{'3': 23062}
Mech,38802,19403,1.9556814669061013,{'3': 38802}
Mech,29996,15000,1.912970987757002,{'3': 29996}
Mech,29990,14997,1.8858130872384993,{'3': 29990}
Octopus,11888,5944,2.0024809612078713,{'3': 11888}
Octopus,14498,7251,2.005800837570869,{'3': 14498}
Octopus,30982,15493,1.9368954540707664,{'3': 30982}
Octopus,6198,3101,1.987602575969351,{'3': 6198}
Octopus,2682,1343,1.7003293798555619,{'3': 2682}
Octopus,12646,6325,2.074454627124922,{'3': 12646}
Octopus,23808,11906,2.037298456289603,{'3': 23808}
Octopus,12324,6164,1.908333042212496,{'3': 12324}
Octopus,12284,6144,2.0456813046024545,{'3': 12284}
Octopus,15490,7747,1.988336993570255,{'3': 15490}
Octopus,22098,11051,2.0065794277825137,{'3': 22098}
Octopus,15620,7812,1.735759776005885,{'3': 15620}
Octopus,20932,10466,1.9683980796576692,{'3': 20932}
Octopus,21860,10932,2.012259178137846,{'3': 21860}
Octopus,30398,15201,1.9487470333524564,{'3': 30398}
Octopus,28248,14126,1.926889981291096,{'3': 28248}
Octopus,18244,9124,1.8578904703991568,{'3': 18244}
Octopus,19184,9594,1.9362179629370242,{'3': 19184}
Octopus,16030,8017,1.8701419732202151,{'3': 16030}
Octopus,18396,9200,2.0102828159241675,{'3': 18396}
Plier,8970,4487,1.7867347312905741,{'3': 8970}
Plier,8978,4491,1.788235722716667,{'3': 8978}
Plier,7808,3906,1.7860397531969998,{'3': 7808}
Plier,8810,4407,1.8082201193438812,{'3': 8810}
Plier,8952,4478,1.8227630125718481,{'3': 8952}
Plier,9584,4794,1.79832004937942,{'3': 9584}
Plier,10400,5202,1.8177395302958013,{'3': 10400}
Plier,12204,6104,1.8086298681598731,{'3': 12204}
Plier,10216,5110,1.8040036031006146,{'3': 10216}
Plier,11012,5508,1.8079961283144386,{'3': 11012}
Plier,8564,4284,1.8120182118290091,{'3': 8564}
Plier,8592,4298,1.8205353608210966,{'3': 8592}
Plier,7922,3963,1.7563772373838145,{'3': 7922}
Plier,7604,3804,1.778012373410264,{'3': 7604}
Plier,8922,4463,1.7996713588875053,{'3': 8922}
Plier,8952,4478,1.8044403564540448,{'3': 8952}
Plier,10398,5201,1.788171691980387,{'3': 10398}
Plier,12392,6198,1.7430969565689685,{'3': 12392}
Plier,7880,3942,1.802239717684637,{'3': 7880}
Plier,8910,4457,1.7851462124991333,{'3': 8910}
Table,27848,13926,1.90545296452051,{'3': 27848}
Table,19600,9802,1.81637771402316,{'3': 19600}
Table,18536,9270,1.8158383738648107,{'3': 18536}
Table,30160,15082,2.0106615826637757,{'3': 30160}
Table,26408,13206,1.8761916213436194,{'3': 26408}
Table,27424,13714,1.9629304623445019,{'3': 27424}
Table,27406,13705,1.9930777706853289,{'3': 27406}
Table,26746,13375,2.130217125083732,{'3': 26746}
Table,27172,13588,2.1282824060730285,{'3': 27172}
Table,27154,13579,1.7322444977542863,{'3': 27154}
Table,25388,12696,1.808939744712355,{'3': 25388}
Table,21082,10543,1.7321602119896415,{'3': 21082}
Table,27158,13581,1.8317464344171657,{'3': 27158}
Table,27854,13929,2.016991075835488,{'3': 27854}
Table,28764,14384,2.064019864245497,{'3': 28764}
Table,20196,10100,1.9459393618507232,{'3': 20196}
Table,27762,13883,2.1609217940499374,{'3': 27762}
Table,29170,14587,1.9037153148514618,{'3': 29170}
Table,27856,13930,1.8681729042034627,{'3': 27856}
Table,20160,10082,1.7609494598085431,{'3': 20160}
Teddy,27648,13826,1.9176063203900846,{'3': 27648}
Teddy,20188,10096,1.9592488356510511,{'3': 20188}
Teddy,21758,10879,1.9780432250079876,{'3': 21758}
Teddy,29014,14509,1.9419232734585576,{'3': 29014}
Teddy,20462,10233,1.9184144494868673,{'3': 20462}
Teddy,22176,11090,1.9978778741454644,{'3': 22176}
Teddy,25290,12647,1.9679982215439118,{'3': 25290}
Teddy,21500,10752,1.9247443986150474,{'3': 21500}
Teddy,25118,12561,1.9965795751735016,{'3': 25118}
Teddy,24996,12500,1.9553160869792894,{'3': 24996}
Teddy,29806,14905,1.9340087900524134,{'3': 29806}
Teddy,20278,10141,1.9777396188578518,{'3': 20278}
Teddy,27730,13867,1.8449105669381376,{'3': 27730}
Teddy,25658,12831,1.9469822803507997,{'3': 25658}
Teddy,18956,9480,1.9797555404645293,{'3': 18956}
Teddy,24996,12500,1.9977477318220136,{'3': 24996}
Teddy,25082,12543,1.9502902348112192,{'3': 25082}
Teddy,24346,12175,1.9090811926159663,{'3': 24346}
Teddy,26644,13324,1.9745191819782355,{'3': 26644}
Teddy,19092,9548,1.896439558752137,{'3': 19092}
Vase,29734,14859,1.9991825829573446,{'3': 29734}
Vase,28952,14476,1.763398707042738,{'3': 28952}
Vase,26864,13434,1.6890334514153356,{'3': 26864}
Vase,27100,13548,1.9913121302297137,{'3': 27100}
Vase,27028,13514,2.1770218189076562,{'3': 27028}
Vase,21274,10637,1.9237666178619484,{'3': 21274}
Vase,7800,3900,1.9946866921900293,{'3': 7800}
Vase,22400,11202,1.908438628827241,{'3': 22400}
Vase,27212,13606,2.0091923750601883,{'3': 27212}
Vase,27836,13920,2.01295305459417,{'3': 27836}
Vase,29194,14599,2.0014817011404324,{'3': 29194}
Vase,13368,6684,1.849863238188164,{'3': 13368}
Vase,21112,10556,1.8708038379263603,{'3': 21112}
Vase,29744,14872,1.8122538453539008,{'3': 29744}
Vase,23520,11762,1.9169303586724271,{'3': 23520}
Vase,25132,12568,2.0827143347084354,{'3': 25132}
Vase,30342,15169,1.834503747611326,{'3': 30342}
Vase,13368,6684,1.8436154696682279,{'3': 13368}
Vase,13842,6923,1.9869013563838545,{'3': 13842}
Vase,18708,9356,1.8957565772007756,{'3': 18708}
